City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
204,Saldanha,ZA,-33.0117,17.9442,60.85,71,38,10.31,scattered clouds
205,Palmer,US,42.1584,-72.3287,90.64,64,65,4.0,broken clouds
206,Constitucion,CL,-35.3333,-72.4167,58.59,70,24,5.41,few clouds
207,Kibala,TD,9.1104,18.3463,85.01,65,81,2.68,broken clouds
208,Clyde River,CA,70.4692,-68.5914,39.43,93,100,16.11,light rain
209,Verkhnetulomskiy,RU,68.6073,31.7962,71.73,53,93,3.65,overcast clouds
210,Turkmenabat,TM,39.0733,63.5786,103.98,11,0,13.8,clear sky
211,Ouesso,CG,1.6136,16.0517,78.96,86,37,2.33,light rain
212,Arman,RU,59.7,150.1667,58.5,83,86,2.71,overcast clouds
213,Benalla,AU,-36.55,145.9833,37.85,80,11,4.97,few clouds
214,Praia,CV,14.9215,-23.5087,84.74,65,75,11.5,broken clouds
215,Margate,GB,51.3813,1.3862,74.3,76,60,5.01,broken clouds
216,Voh,NC,-20.9667,164.7,72.09,91,13,6.22,few clouds
217,Narsaq,GL,60.9167,-46.05,64.62,68,6,6.46,clear sky
218,Ponta Delgada,PT,37.7333,-25.6667,72.32,83,75,8.05,broken clouds
219,Akcaabat,TR,41.0212,39.5715,73.27,60,75,11.5,broken clouds
220,Celestun,MX,20.8667,-90.4,87.15,59,1,2.35,clear sky
221,Tuktoyaktuk,CA,69.4541,-133.0374,51.8,93,100,6.91,overcast clouds
222,Winona,US,43.9666,-91.7668,78.6,63,40,4.61,scattered clouds
223,Gravelbourg,CA,49.8834,-106.5512,68.27,37,28,7.38,scattered clouds
224,Bengkulu,ID,-3.8004,102.2655,76.3,91,76,4.56,broken clouds
225,Touros,BR,-5.1989,-35.4608,82.58,63,79,14.23,broken clouds
226,Xaxim,BR,-26.9617,-52.5347,73.78,62,46,6.6,scattered clouds
227,Cairns,AU,-16.9167,145.7667,70.07,90,22,5.1,few clouds
228,Larsnes,NO,62.2028,5.5773,59.41,82,89,6.78,overcast clouds
229,Amlimay,PH,16.6938,120.837,59.52,92,100,2.8,overcast clouds
230,Taltal,CL,-25.4,-70.4833,61.88,73,25,5.48,scattered clouds
231,Palekh,RU,56.8028,41.8572,62.74,84,44,6.62,scattered clouds
232,Conceicao Do Araguaia,BR,-8.2578,-49.2647,95.0,21,5,6.29,clear sky
233,Mount Isa,AU,-20.7333,139.5,50.29,33,3,12.82,clear sky
234,Luwuk,ID,-0.9516,122.7875,76.5,88,29,4.92,scattered clouds
235,Knysna,ZA,-34.0363,23.0471,54.77,82,0,3.67,clear sky
236,Laela,TZ,-8.5667,32.05,67.17,43,92,6.26,overcast clouds
237,Fort Dodge,US,42.4975,-94.168,79.02,61,0,8.05,clear sky
238,Stende,LV,57.15,22.5333,82.67,44,75,3.44,broken clouds
239,Lishui,CN,28.4604,119.9103,79.7,91,85,1.28,overcast clouds
240,Kahului,US,20.8947,-156.47,73.42,78,100,13.8,overcast clouds
241,Vaitape,PF,-16.5167,-151.75,76.71,75,17,12.86,few clouds
242,Parfenyevo,RU,58.484,43.4088,65.71,70,100,4.99,overcast clouds
243,Victoria Point,AU,-27.5833,153.3,61.81,96,99,5.01,light rain
244,Viedma,AR,-40.8135,-62.9967,52.63,24,75,17.85,broken clouds
245,Yulara,AU,-25.2406,130.9889,51.06,39,4,8.68,clear sky
246,Port Augusta,AU,-32.5,137.7667,49.33,87,74,7.43,broken clouds
247,Norman Wells,CA,65.282,-126.8329,59.04,94,100,2.3,overcast clouds
248,Sulangan,PH,11.1373,123.7228,84.72,74,100,8.3,light rain
249,Namibe,AO,-15.1961,12.1522,65.03,82,100,17.27,overcast clouds
250,Karachi,PK,24.9056,67.0822,84.02,79,75,21.85,broken clouds
251,Olga,RU,43.7444,135.2892,63.3,98,100,3.89,overcast clouds
252,Puerto Escondido,MX,15.85,-97.0667,86.83,66,40,3.44,scattered clouds
253,Angoche,MZ,-16.2325,39.9086,72.81,68,2,5.95,clear sky
254,Teahupoo,PF,-17.8333,-149.2667,64.36,78,18,12.19,light rain
255,Uige,AO,-7.6087,15.0613,77.02,65,20,6.91,few clouds
256,Belize,BZ,17.25,-88.75,84.52,75,75,6.85,broken clouds
257,Nogliki,RU,51.8333,143.1667,53.62,98,100,10.13,overcast clouds
258,Lebu,CL,-37.6167,-73.65,52.27,83,89,2.01,overcast clouds
259,Ballarat,AU,-37.5662,143.8496,46.89,78,1,8.14,clear sky
260,Aviles,ES,43.5547,-5.9248,73.38,88,75,9.22,light intensity drizzle
261,Bouna,CI,9.2667,-3.0,89.1,41,75,4.72,broken clouds
262,Acarau,BR,-2.8856,-40.12,87.91,51,66,8.97,broken clouds
263,Nanyang,CN,32.9947,112.5328,78.53,81,22,2.01,few clouds
264,Idlib,SY,35.9306,36.6339,84.02,37,0,18.14,clear sky
265,Iqaluit,CA,63.7506,-68.5145,38.93,100,100,8.05,light intensity drizzle
266,Naze,JP,28.3667,129.4833,81.52,88,79,13.29,broken clouds
267,Olafsvik,IS,64.8945,-23.7142,52.3,78,92,2.33,overcast clouds
268,Kruisfontein,ZA,-34.0033,24.7314,56.88,83,0,3.0,clear sky
269,Kijang,KR,35.2442,129.2139,78.53,82,1,6.38,clear sky
270,Port Macquarie,AU,-31.4333,152.9167,57.88,88,75,6.91,broken clouds
271,Haines Junction,CA,60.7522,-137.5108,46.56,79,96,3.4,overcast clouds
272,Alofi,NU,-19.0595,-169.9187,69.69,88,7,5.75,clear sky
273,Hambantota,LK,6.1241,81.1185,79.14,94,40,6.91,scattered clouds
274,Codrington,AU,-38.2667,141.9667,46.44,85,5,10.78,clear sky
